23.125	1.46E-05	3.08E-06
23.375	1.07E-05	3.05E-06
23.625	-3.88E-08	3.02E-06
23.875	1.57E-05	3.06E-06
24.125	1.80E-05	3.00E-06
24.375	1.90E-05	3.04E-06
24.625	2.67E-05	3.08E-06
24.875	3.82E-05	3.16E-06
25.125	3.89E-05	3.15E-06
25.375	3.50E-05	3.03E-06
25.625	3.22E-05	2.97E-06
25.875	2.40E-05	2.85E-06
26.125	2.13E-05	2.76E-06
26.375	1.29E-05	2.71E-06
26.625	8.46E-06	2.64E-06
26.875	1.30E-05	2.62E-06
27.125	9.33E-06	2.55E-06
27.375	1.32E-05	2.50E-06
27.625	4.25E-06	2.43E-06
27.875	-2.51E-08	2.39E-06
28.125	7.56E-06	2.83E-06
28.375	9.77E-07	2.85E-06
28.625	1.58E-06	2.73E-06
28.875	-1.93E-07	2.68E-06
29.125	3.99E-06	2.63E-06
29.375	1.43E-05	2.64E-06
29.625	1.84E-05	2.60E-06
29.875	1.93E-05	2.60E-06
30.125	1.89E-05	2.54E-06
30.375	2.49E-05	2.56E-06
30.625	2.71E-05	2.51E-06
30.875	3.32E-05	2.42E-06
31.125	3.91E-05	2.37E-06
31.375	4.24E-05	2.36E-06
31.625	3.81E-05	2.30E-06
31.875	2.88E-05	2.22E-06
32.125	2.05E-05	2.16E-06
32.375	1.44E-05	2.19E-06
32.625	8.06E-06	2.23E-06
32.875	7.56E-06	2.22E-06
33.125	4.87E-06	2.18E-06
33.375	9.78E-07	2.13E-06
33.625	1.73E-06	2.05E-06
33.875	8.65E-07	2.09E-06
34.125	-1.88E-07	1.91E-06
34.375	4.48E-06	1.80E-06
34.625	3.02E-06	1.85E-06
34.875	7.09E-06	1.80E-06
