#E	I	Err
4.0625	4.18E-06	3.61E-06
4.1875	1.12E-06	3.64E-06
4.3125	9.78E-06	3.79E-06
4.4375	-4.44E-09	3.56E-06
4.5625	1.23E-05	3.85E-06
4.6875	1.92E-05	3.93E-06
4.8125	4.33E-05	4.47E-06
4.9375	4.35E-05	4.79E-06
5.0625	4.68E-05	4.73E-06
5.1875	5.21E-05	5.02E-06
5.3125	4.06E-05	4.75E-06
5.4375	3.60E-05	4.65E-06
5.5625	2.36E-05	4.62E-06
5.6875	1.15E-05	4.37E-06
5.8125	1.41E-05	4.29E-06
5.9375	-1.39E-09	3.97E-06
6.5625	-1.08E-07	4.21E-06
6.6875	8.63E-07	3.91E-06
6.8125	8.70E-06	3.96E-06
6.9375	5.80E-06	4.14E-06
7.0625	2.12E-05	4.52E-06
7.1875	2.53E-05	4.53E-06
7.3125	4.40E-05	5.08E-06
7.4375	4.95E-05	5.17E-06
7.5625	6.43E-05	5.50E-06
7.6875	9.88E-05	6.13E-06
7.8125	0.0001263	6.47E-06
7.9375	0.000168548	7.22E-06
8.0625	0.000238747	8.03E-06
8.1875	0.000347199	9.24E-06
8.3125	0.000494302	1.07E-05
8.4375	0.000699632	1.23E-05
8.5625	0.00104831	1.48E-05
8.6875	0.001637319	1.83E-05
8.8125	0.002509871	2.24E-05
8.9375	0.003852824	2.75E-05
9.0625	0.005485477	3.28E-05
9.1875	0.006970841	3.68E-05
9.3125	0.007189906	3.74E-05
9.4375	0.005909748	3.39E-05
9.5625	0.00439755	2.93E-05
9.6875	0.003225144	2.52E-05
9.8125	0.001890251	1.95E-05
9.9375	0.000938442	1.40E-05
10.0625	0.000503552	1.07E-05
10.1875	0.000348795	9.17E-06
10.3125	0.000225259	7.83E-06
10.4375	0.000156565	6.97E-06
10.5625	0.000119367	6.40E-06
10.6875	8.89E-05	5.92E-06
10.8125	5.10E-05	5.51E-06
10.9375	2.94E-05	5.16E-06
11.0625	1.78E-05	4.80E-06
11.1875	-1.30E-07	4.39E-06
11.3125	3.54E-06	4.59E-06
11.4375	5.09E-06	4.65E-06
12.0625	-6.91E-07	4.95E-06
12.1875	2.63E-05	5.31E-06
12.3125	3.10E-05	5.40E-06
12.4375	3.45E-05	5.36E-06
12.5625	4.25E-05	5.40E-06
12.6875	6.36E-05	5.73E-06
12.8125	6.98E-05	5.86E-06
12.9375	9.09E-05	6.07E-06
13.0625	0.000107322	6.40E-06
13.1875	0.000141902	6.89E-06
13.3125	0.000160646	7.08E-06
13.4375	0.000183211	7.42E-06
13.5625	0.000225696	7.82E-06
13.6875	0.000278566	8.39E-06
13.8125	0.000352757	9.11E-06
13.9375	0.000448863	9.87E-06
14.0625	0.000554915	1.06E-05
14.1875	0.000713482	1.17E-05
14.3125	0.00094773	1.31E-05
14.4375	0.001199266	1.44E-05
14.5625	0.001512271	1.59E-05
14.6875	0.001973913	1.79E-05
14.8125	0.002442362	1.96E-05
14.9375	0.00292939	2.12E-05
15.0625	0.003451585	2.28E-05
15.1875	0.003961784	2.42E-05
15.3125	0.004349437	2.52E-05
15.4375	0.004752931	2.61E-05
15.5625	0.004903345	2.63E-05
15.6875	0.004685586	2.56E-05
15.8125	0.00383349	2.31E-05
15.9375	0.002630476	1.92E-05
16.0625	0.001563411	1.50E-05
16.1875	0.000966597	1.20E-05
16.3125	0.000662319	1.02E-05
16.4375	0.000463449	8.86E-06
16.5625	0.000343086	7.91E-06
16.6875	0.000256889	7.16E-06
16.8125	0.000169519	6.42E-06
16.9375	0.000101587	5.82E-06
17.0625	6.43E-05	5.35E-06
17.1875	3.66E-05	5.31E-06
17.3125	2.29E-05	5.00E-06
17.4375	-6.91E-07	4.70E-06
17.8125	-4.76E-09	4.26E-06
17.9375	4.12E-06	4.35E-06
18.0625	1.27E-05	4.35E-06
18.1875	2.79E-05	4.61E-06
18.3125	2.94E-05	4.71E-06
18.4375	3.74E-05	4.91E-06
18.5625	3.54E-05	4.78E-06
18.6875	2.79E-05	4.87E-06
18.8125	3.34E-05	4.87E-06
18.9375	1.56E-05	4.73E-06
19.0625	1.18E-05	4.44E-06
19.1875	5.82E-06	4.44E-06
19.3125	-6.45E-09	4.34E-06
19.4375	5.55E-06	4.42E-06
19.7	1.00E-07	1.00E-07
19.9	1.00E-07	1.00E-07
20.1	1.00E-07	1.00E-07
20.3	1.00E-07	1.00E-07
20.5	1.00E-07	1.00E-07
20.7	1.00E-07	1.00E-07
20.9	1.00E-07	1.00E-07
21.1	1.00E-07	1.00E-07
21.3	1.00E-07	1.00E-07
21.5	1.00E-07	1.00E-07
21.7	1.00E-07	1.00E-07
21.9	1.00E-07	1.00E-07
22.1	1.00E-07	1.00E-07
22.3	1.00E-07	1.00E-07
22.5	1.00E-07	1.00E-07
22.7	1.00E-07	1.00E-07
22.9	1.00E-07	1.00E-07
